practice_code	list_size	postcode	grid_ref	easting	northing	latitude	longitude
43203	4148	G20 6HS	NS 57965 67070	257965	667070	55.875788	-4.2718271
43218	5965	G20 7ER	NS 58008 67509	258008	667509	55.879742	-4.2713706
43222	7158	G64 1NF	NS 61535 69428	261535	669428	55.897998	-4.2160202
43237	4092	G22 5AP	NS 59099 67628	259099	667628	55.88113	-4.2540077
43256	3418	G22 5AP	NS 59099 67628	259099	667628	55.88113	-4.2540077
43261	3361	G66 7JJ	NS 62684 77912	262684	677912	55.974497	-4.2019787
43275	3482	G21 3RW	NS 62428 68764	262428	668764	55.892292	-4.2014128
43294	3565	G22 5SS	NS 59275 68103	259275	668103	55.885446	-4.2514436
43307	3045	G22 7JL	NS 59713 69570	259713	669570	55.898745	-4.2452078
43311	5630	G20 8FB	NS 56708 68685	256708	668685	55.889914	-4.2927556
43326	5146	G22 6BD	NS 60323 68228	260323	668228	55.886874	-4.2347674
43453	6990	G20 7ER	NS 58008 67509	258008	667509	55.879742	-4.2713706
43468	1945	G20 7ER	NS 58008 67509	258008	667509	55.879742	-4.2713706
43504	7337	G21 1TR	NS 60671 67749	260671	667749	55.882674	-4.2289616
43538	2259	G22 5AP	NS 59099 67628	259099	667628	55.88113	-4.2540077
43542	2574	G22 5AP	NS 59099 67628	259099	667628	55.88113	-4.2540077
43557	1705	G64 2AA	NS 60832 70055	260832	670055	55.903424	-4.2275764
43576	55163	G20 8FB	NS 56708 68685	256708	668685	55.889914	-4.2927556
43581	6786	G66 3BF	NS 65667 73370	265667	673370	55.934562	-4.1519518
46019	14644	G31 2ES	NS 60403 65816	260403	665816	55.865242	-4.232246
46023	2509	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46057	6965	G33 1EY	NS 62814 67238	262814	667238	55.878702	-4.194472
46061	17815	G31 2ES	NS 60403 65816	260403	665816	55.865242	-4.232246
46081	9586	G32 7JZ	NS 64261 64264	264261	664264	55.85241	-4.1698707
46095	3037	G31 5BA	NS 62712 64315	262712	664315	55.852429	-4.19462
46112	5153	G33 3TU	NS 64826 66815	264826	666815	55.875473	-4.1621252
46127	1986	G31 2XE	NS 61059 65071	261059	665071	55.858743	-4.2213904
46131	4251	G31 4UW	NS 62968 63932	262968	663932	55.849063	-4.1903405
46146	4358	G32 6JP	NS 62748 65076	262748	665076	55.859272	-4.1944307
46151	2420	G40 3LJ	NS 62011 63639	262011	663639	55.84616	-4.2054647
46165	3698	G32 7JZ	NS 64261 64264	264261	664264	55.85241	-4.1698707
46184	7688	G40 1HA	NS 60652 63900	260652	663900	55.848112	-4.2272857
46201	3198	G32 6NB	NS 64488 65282	264488	665282	55.861614	-4.1667564
46216	13317	G69 7AD	NS 67590 63769	267590	663769	55.848891	-4.1164928
46221	5253	G34 9HQ	NS 67066 66014	267066	666014	55.868904	-4.125957
46235	4918	G31 5BA	NS 62712 64315	262712	664315	55.852429	-4.19462
46240	1928	G34 9HQ	NS 67066 66014	267066	666014	55.868904	-4.125957
46292	3409	G32 6NB	NS 64488 65282	264488	665282	55.861614	-4.1667564
46305	7899	G69 7AD	NS 67590 63769	267590	663769	55.848891	-4.1164928
46339	3851	G31 5RA	NS 62915 64022	262915	664022	55.849856	-4.1912319
46343	7973	G32 8UH	NS 64123 63285	264123	663285	55.843581	-4.171583
46381	2337	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46396	1429	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46428	4525	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46447	1541	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
